id,rate,usage_hours,complaints,customer_left,reason_to_leave
386,normal,999.382568589842,1,no,0
387,normal,1046.70620211293,18,yes,0
388,normal,1052.91987350972,10,no,0
389,premium,966.300988679287,21,no,0
390,normal,1014.56536703542,14,no,0
391,normal,968.038315789054,8,yes,0
392,normal,983.429026022699,18,yes,2
393,normal,1002.12994041328,14,no,0
394,premium,965.342170568507,16,no,0
395,premium,993.276956162214,15,no,0
396,normal,990.628285881496,5,no,0
397,premium,1023.58910304247,5,yes,2
398,premium,1026.30512247472,29,yes,0
399,normal,1060.84602311317,20,no,0
400,premium,1004.5938841693,14,no,0
401,normal,1029.50534882818,11,no,0
402,normal,1069.87178178925,0,yes,0
403,premium,1004.86683880081,27,yes,0
404,normal,944.355178993888,20,no,0
405,premium,1029.67505619193,20,yes,0
406,normal,1011.05900082031,14,no,0
407,normal,1003.16108056917,17,no,0
408,premium,959.702175585863,21,no,0
409,premium,986.565350589397,25,yes,1
410,normal,1035.62449041622,25,no,0
411,normal,986.935999152892,17,no,0
412,normal,1020.56114272802,8,no,0
413,premium,1029.85293888006,24,no,0
414,premium,993.805150274749,7,no,0
415,normal,1034.22338601619,13,yes,1
416,normal,989.339815824084,17,no,0
417,premium,1020.95098004306,25,yes,2
418,normal,1038.64698232039,26,no,0
419,normal,958.940970825216,19,no,0
420,normal,990.366884705569,19,no,0
421,premium,1002.41864797825,15,no,0
422,premium,1005.57526063374,16,no,0
423,normal,1029.85941346922,25,yes,1
424,premium,1002.68395416883,27,yes,0
425,premium,967.599033741015,20,no,0
426,premium,1017.80769505496,19,yes,1
427,normal,1003.21929313116,3,no,0
428,normal,1012.67708679016,8,no,0
429,normal,1022.85085927056,24,yes,0
430,premium,1026.62458004536,0,yes,1
431,normal,1019.00228654976,26,no,0
432,normal,1011.95217692862,8,yes,0
433,premium,1018.9789275103,20,no,0
434,normal,1011.72000197132,20,no,0
435,premium,1029.91075462362,3,no,0
436,premium,1004.33262731137,26,no,0
437,premium,1022.79318610331,7,yes,1
438,premium,1075.56933777492,25,yes,0
439,premium,1047.98788458496,14,yes,0
440,normal,969.587722116683,16,yes,0
441,normal,970.319993719402,3,no,0
442,normal,987.510754191167,9,no,0
443,premium,981.858615490755,8,no,0
444,premium,979.584340297704,12,yes,0
445,premium,957.623060018418,20,no,0
446,premium,1053.47789888698,26,yes,1
447,normal,991.842125656502,17,yes,1
448,normal,970.101952040204,4,yes,0
449,normal,971.862365589232,23,no,0
450,premium,1009.44476760928,11,no,0
451,normal,1004.84340258625,2,yes,1
452,premium,968.388759661031,12,yes,1
453,premium,1020.86048288803,26,yes,1
454,normal,1013.63627342578,29,no,0
455,premium,974.554912596677,7,yes,0
456,normal,1013.71892028203,12,no,0
457,premium,997.212797083939,23,yes,1
458,premium,1024.11291642168,5,no,0
459,premium,1018.66221861359,29,no,0
460,normal,1012.99442966703,30,no,0
461,premium,1029.79177227762,6,no,0
462,normal,985.193681584567,28,no,0
463,normal,1026.55066152856,24,yes,1
464,premium,985.382885839129,20,no,0
465,premium,1022.33452625868,20,no,0
466,normal,1018.55738489322,15,no,0
467,normal,974.884996313428,26,no,0
468,premium,986.907155326927,18,no,0
469,normal,963.236679212265,4,no,0
470,normal,1021.88837818008,9,no,0
471,premium,962.270207924202,7,no,0
472,premium,1021.31164580535,8,no,0
473,premium,1029.88832363615,29,no,0
474,normal,1048.21136120413,6,no,0
475,premium,981.250051333943,19,yes,1
476,normal,1036.5862704574,16,no,0
477,premium,1045.70937999267,28,no,0
478,premium,1010.56818371047,24,no,0
479,premium,1000.61617368295,15,no,0
480,normal,1003.05624956729,11,yes,0
481,normal,1013.35177422114,10,no,0
482,premium,1000.4014678153,6,no,0
483,normal,995.270296237766,30,no,0
484,premium,991.005539668198,28,no,0
485,premium,991.460239063488,1,no,0
486,premium,993.038703060202,4,no,0
487,premium,980.319980083802,24,no,0
488,premium,960.907931380877,24,no,0
489,premium,998.608376701917,2,yes,0
490,premium,973.271299708833,4,no,0
491,premium,1070.23732073972,28,no,0
492,normal,1010.21049632098,18,no,0
493,normal,1026.76761399749,5,no,0
494,normal,991.378068942509,9,no,0
495,normal,1016.07638590991,14,no,0
496,premium,974.081999865479,6,no,0
497,premium,993.860049315291,11,no,0
498,normal,979.590635952787,9,no,0
499,normal,986.489852309167,27,yes,0
500,normal,988.348363696593,14,yes,1
501,premium,1003.61185296637,9,yes,2
502,normal,1080.91539590012,4,no,0
503,premium,992.098488332119,3,no,0
504,premium,951.321319603975,12,no,0
505,normal,1009.82685485664,3,no,0
506,normal,1020.31000201507,9,no,0
507,premium,987.816934902057,18,no,0
508,normal,1018.23831941091,7,no,0
509,normal,1008.11456857288,21,no,0
510,premium,973.30341388581,29,no,0
511,premium,1013.91532582001,16,yes,1
512,normal,973.66807438607,22,yes,1
513,premium,1021.2493724845,13,no,0
514,normal,1021.57601725477,27,no,0
515,normal,962.352566138884,29,no,0
516,premium,997.525144954179,10,no,0
517,normal,1043.46167972301,1,no,0
518,premium,1040.47438458158,12,no,0
519,normal,963.463485929631,27,yes,1
520,normal,964.793415110394,22,no,0
521,normal,927.971461591568,4,no,0
522,premium,1040.46485703977,14,yes,1
523,premium,996.485801330094,8,yes,1
524,premium,1014.48065940998,16,no,0
525,premium,977.335380979482,3,no,0
526,normal,963.884220460594,6,no,0
527,premium,976.991172484644,24,yes,0
528,premium,1012.9823388107,8,no,0
529,premium,1047.15172429272,2,yes,1
530,premium,1069.31782438072,8,no,0
531,premium,1029.62905983992,27,no,0
532,premium,981.048367149664,5,no,0
533,premium,982.172809857808,11,no,0
534,normal,973.80423486056,30,yes,0
535,normal,1028.70722593182,21,no,0
536,normal,991.767874507387,1,no,0
537,normal,980.716168821331,8,no,0
538,normal,980.262802917,7,no,0
539,premium,987.91530266868,26,yes,1
540,normal,1005.16043980424,12,no,0
541,premium,1022.63422530682,22,no,0
542,premium,996.127547494302,0,no,0
543,premium,980.001714141875,14,yes,1
544,normal,976.567518160236,14,no,0
545,normal,998.069686660936,26,no,0
546,premium,1026.65836947446,11,yes,1
547,normal,967.334214926128,24,no,0
548,premium,970.002952076622,8,no,0
549,premium,975.097764830283,18,yes,0
550,premium,1022.99405577382,9,no,0
551,premium,999.635880948579,24,yes,1
552,premium,1029.62254988284,24,no,0
553,normal,966.293181669088,3,yes,0
554,premium,999.215219340229,5,no,0
555,normal,1005.90731413275,8,no,0
556,premium,981.159971555694,13,no,0
557,normal,1008.49069635463,21,no,0
558,premium,1003.63503098817,1,no,0
559,normal,1002.38278209733,27,no,0
560,normal,965.334638972688,24,yes,1
561,normal,977.102748036775,19,yes,0
562,premium,1005.10015221042,20,no,0
563,premium,1043.80588370285,2,no,0
564,normal,980.337040301665,1,no,0
565,premium,997.058055490559,30,yes,0
566,premium,984.075528965159,28,no,0
567,normal,1018.22383775078,6,no,0
568,premium,998.470907805693,10,yes,0
569,normal,953.911222554745,6,no,0
570,normal,1034.88200409424,24,no,0
571,premium,1061.81330915024,17,no,0
572,premium,998.500270244465,4,no,0
573,normal,1032.14301575489,20,no,0
574,premium,1015.1298993195,3,no,0
575,premium,1011.5071664169,16,no,0
576,premium,1032.39353163274,12,no,0
577,premium,999.441380450967,26,yes,0
578,normal,1014.94416150616,14,yes,1
579,premium,977.185687793866,23,no,0
580,normal,1009.22856659545,5,yes,1
581,premium,982.756665345624,7,yes,0
582,normal,967.521095465554,4,yes,1
583,premium,998.784361055436,24,yes,0
584,normal,992.953218774091,15,no,0
585,normal,965.45304402118,16,no,0
586,premium,1015.2914461947,14,no,0
587,premium,950.879328269731,7,no,0
588,normal,992.644125473606,11,no,0
589,premium,945.180358790964,9,yes,1
590,normal,1074.65579377753,20,no,0
591,premium,930.817878168875,14,no,0
592,normal,951.657446836783,5,no,0
593,normal,972.208897010825,28,yes,1
594,normal,971.824820226829,18,yes,0
595,normal,975.07585843125,12,no,0
596,premium,1007.33653124356,25,no,0
597,normal,963.595878435146,4,no,0
598,normal,1016.35782999726,18,no,0
599,normal,981.067200896978,3,no,0
600,premium,1015.23535188484,21,no,0
601,normal,976.662523125217,9,yes,1
602,premium,975.111607010559,9,no,0
603,normal,1009.03415113686,6,no,0
604,normal,971.419624412038,30,yes,1
605,normal,984.269583306034,7,no,0
606,premium,1043.63694233044,23,no,0
607,normal,1002.97842129645,22,no,0
608,premium,982.96983404617,16,yes,0
609,premium,1033.53189681851,27,no,0
610,premium,1026.75253537648,18,no,0
611,premium,976.464310975394,5,no,0
612,normal,970.526334797913,5,no,0
613,normal,1052.99831041646,17,yes,0
614,premium,1007.91509751368,5,no,0
615,premium,1082.33144537421,24,yes,1
616,premium,998.02982927536,24,no,0
617,premium,1009.08951678728,6,yes,1
618,normal,992.668131587702,17,no,0
619,premium,1035.48148273531,11,no,0
620,normal,997.359202734632,12,no,0
621,normal,941.80926399141,14,yes,1
622,premium,1003.18858884674,22,no,0
623,normal,1022.29233867585,27,no,0
624,normal,1038.95667624863,27,no,0
625,normal,985.179325533821,5,yes,2
626,premium,974.340444132881,10,no,0
627,premium,965.872800382134,22,yes,1
628,premium,992.859676179743,23,yes,1
629,premium,1024.73415917844,2,no,0
630,normal,1012.4227951283,5,yes,1
631,premium,961.112626456451,10,no,0
632,premium,1007.31804222024,6,no,0
633,normal,1025.77031988361,30,no,0
634,premium,999.83335139543,10,no,0
635,premium,972.292449152765,20,yes,1
636,premium,1008.08966188365,21,no,0
637,premium,1031.42924083366,8,yes,0
638,premium,943.712839836288,18,yes,1
639,premium,972.94781686435,22,no,0
640,normal,977.063158104805,7,no,0
641,normal,1029.44058619356,15,yes,1
642,normal,957.200976117763,11,no,0
643,premium,980.53841719203,13,no,0
644,normal,1009.93449765983,6,no,0
645,premium,1014.49845972541,15,yes,0
646,normal,949.899130067464,10,yes,1
647,premium,994.85377732705,16,no,0
648,normal,981.449422115662,15,no,0
649,normal,1041.65755596695,16,no,0
650,premium,1020.46789690914,18,no,0
651,premium,1009.79989866358,18,no,0
652,normal,968.736171678828,28,yes,1
653,premium,1040.87108509838,23,yes,0
654,normal,953.540551211952,20,no,0
655,premium,955.781048517536,30,no,0
656,premium,1001.62029274822,8,no,0
657,normal,962.065228545432,9,no,0
658,premium,966.676737703379,10,yes,0
659,normal,1021.56089005158,7,yes,0
660,normal,1027.04278737241,14,yes,0
661,premium,1014.1479699985,25,no,0
662,normal,980.979143337297,17,no,0
663,premium,1056.5092886173,30,yes,1
664,normal,994.573547170602,10,no,0
665,normal,985.698009494951,8,no,0
666,premium,1030.58591145785,17,yes,1
667,normal,1026.93646317111,8,no,0
668,premium,1005.34375616077,28,yes,1
669,premium,1042.51389224237,9,no,0
670,premium,1050.38365234294,2,no,0
671,premium,922.967449894674,22,no,0
672,premium,984.910662658448,27,yes,0
673,premium,973.798845969837,25,yes,1
674,premium,981.200852428548,27,no,0
675,normal,1008.10887489448,18,yes,1
676,premium,991.700818032038,13,no,0
677,premium,1032.90578206603,23,yes,1
678,normal,1012.72211405342,26,no,0
679,premium,1010.49224490248,23,yes,2
680,normal,1009.40401701217,27,no,0
681,normal,985.296601293849,23,yes,1
682,normal,1022.0774933579,15,no,0
683,premium,995.621679760115,5,no,0
684,normal,999.422630897232,23,no,0
685,normal,1042.14689129565,11,no,0
686,premium,980.653881124746,6,no,0
687,normal,974.465279547351,7,no,0
688,premium,1047.62196304409,9,no,0
689,premium,1046.56161373794,18,yes,1
690,premium,987.857171137322,27,no,0
691,premium,1011.32595344973,24,no,0
692,normal,968.522635992632,17,no,0
693,normal,1024.48061207069,16,no,0
694,premium,1019.61075471353,2,no,0
695,normal,1016.59187456667,0,yes,2
696,normal,1016.60767490173,21,no,0
697,normal,1019.67747998657,6,no,0
698,normal,974.732893277399,12,no,0
699,premium,1025.67551840577,17,no,0
700,premium,964.87311625118,26,no,0
701,normal,1070.90439668824,17,no,0
702,normal,1016.89655670207,17,yes,1
703,normal,1008.34918075971,4,no,0
704,normal,996.12466221483,26,no,0
705,normal,953.66880596359,29,no,0
706,premium,1012.41481116665,5,no,0
707,normal,971.677356928707,13,no,0
708,normal,989.867102004206,21,no,0
709,normal,925.403703758918,11,no,0
710,normal,1046.62423970634,3,no,0
711,normal,1023.08334319287,10,no,0
712,premium,998.169903362759,1,no,0
713,normal,1017.0783034864,18,yes,0
714,normal,1055.75681399568,5,no,0
715,premium,1056.48055113461,6,no,0
716,premium,1029.53177047246,13,no,0
717,normal,996.967740033253,3,no,0
718,normal,1014.37240994734,8,no,0
719,premium,998.184828944049,14,no,0
720,premium,966.210401077517,23,no,0
721,normal,956.658042389732,5,no,0
722,premium,997.238115106051,2,no,0
723,normal,1023.09132788787,23,yes,1
724,normal,993.073404438923,11,no,0
725,premium,1014.67732319533,30,no,0
726,premium,1009.64028441166,21,no,0
727,normal,1030.39284009532,22,no,0
728,premium,1000.81766325234,17,no,0
729,normal,1002.69178563616,25,no,0
730,normal,964.526380592749,9,yes,2
731,premium,984.930059513273,7,no,0
732,normal,1049.41389395474,3,yes,0
733,premium,1044.13376818192,29,no,0
734,premium,984.86170040866,10,yes,1
735,premium,982.145821756637,4,no,0
736,normal,1079.45792344635,4,no,0
737,normal,947.693649922536,13,no,0
738,premium,981.105301238805,21,no,0
739,premium,952.378853286051,1,yes,0
740,premium,961.894040883693,15,no,0
741,premium,951.239130666751,24,no,0
742,premium,994.918513257467,5,no,0
